tSNE_1,tSNE_2,Cluster
-2.7675638,-2.011671,0
-2.2792122,-1.5355693,0
7.462483,4.5473886,1
1.5404631,-2.2550552,5
3.5600579,2.0186255,4
-2.7110562,-6.175628,3
-1.3552415,2.694565,2
8.7503395,3.0830402,1
1.5978646,0.4014697,4
4.249754,5.758654,1
8.91125,3.510364,1
6.198451,4.50714,1
-5.583782,1.5040569,0
-5.475837,0.3705163,0
6.8793235,1.4735538,1
-1.9892857,-3.6540573,3
-3.0181959,-1.3236287,0
-2.1560001,2.8906476,2
-0.3415332,-2.097699,5
-1.3660315,-3.4933178,5
-1.6750968,-1.7316961,0
1.0047932,-4.2304564,5
1.715906,-0.802087,4
-4.9603467,0.41491666,0
1.56443,0.7163993,4
-3.7799916,-5.4975257,3
6.0247054,2.985966,1
-4.388525,-0.3847564,0
4.84975,2.1959307,1
8.348386,3.0919087,1
-2.633612,-3.4075568,3
-0.92623043,-2.0199854,5
-3.6527264,-6.751491,3
5.6387973,5.1962132,1
-2.255229,-2.529842,0
5.281496,4.6678896,1
-2.4536853,-6.1379843,3
4.030356,4.0070004,1
-3.431778,-2.5262625,0
-2.5952013,-2.1321151,0
0.71245277,1.2831539,4
8.595182,2.4074366,1
8.635061,3.9033668,1
-3.8566148,-0.756233,0
9.058698,2.729812,1
5.6198454,1.4402272,1
0.90063584,-4.515526,5
4.982826,5.6452165,1
-3.1748886,-5.1232796,3
0.77642095,1.7007588,4
-2.745888,-5.5330315,3
-1.7990193,-0.4041543,0
-3.9446793,-4.9408813,3
6.838132,3.1451857,1
-2.018274,2.99412,2
3.5332675,0.892238,4
-0.77868503,1.3446221,2
-3.6360073,-2.4817486,0
-1.7326083,-4.3864675,3
4.9350967,4.7206,1
0.3555584,4.035438,2
8.102105,3.5104914,1
4.173886,1.2379184,4
-1.2864445,-1.1054193,0
0.42700604,-4.9541006,5
-0.9441891,-0.612802,0
-4.2336044,0.6779887,0
-0.9195692,2.257245,2
6.44773,5.095019,1
-5.317568,-0.47026917,0
1.0901849,0.15917748,4
-2.610983,-2.6985686,0
2.1287088,-1.2504821,4
3.5682192,0.23327057,4
5.024604,0.30631587,4
3.7365491,1.0235169,4
0.8651379,-4.821131,5
-1.8463817,-3.219316,5
-1.4917624,-2.5277834,5
2.748521,0.46271873,4
-3.2818758,-6.5023475,3
-3.9882357,-5.830252,3
-2.5284777,-3.7905855,3
-5.364031,1.5633366,0
6.11705,1.2974112,1
-1.3926092,3.676715,2
-0.8986141,2.8668945,2
8.028963,2.6205485,1
6.9323735,3.0066366,1
-5.77002,-0.20994084,0
-1.9604156,3.5069263,2
-4.0105906,0.37710917,0
8.812497,4.205381,1
-3.3136568,-5.637206,3
3.1775687,5.743697,1
-2.8316367,-3.2791903,3
7.7983932,3.7319865,1
-0.8895654,3.103149,2
-1.99764,2.2807364,2
-4.3196726,-5.0930343,3
7.454685,2.3571606,1
0.14991085,0.4288502,4
3.510122,4.863793,1
4.7809987,4.5892377,1
6.4905124,2.6955583,1
4.3592434,6.041406,1
8.210514,4.869467,1
2.5328841,0.03276962,4
4.8101406,5.502212,1
-2.84084,-0.92654663,0
-4.3585334,1.6297523,0
7.1184325,4.7698736,1
0.5878292,0.7877222,4
1.5652316,2.8651664,4
-0.091468625,0.9250684,4
5.3089094,6.309789,1
