tSNE_1,tSNE_2,Cluster
5.266313,1.6619626,1
6.3727703,0.70128375,1
9.672059,8.556911,0
6.0317826,5.59884,2
9.2866335,4.7084618,2
2.6804986,2.155095,3
10.363021,8.380006,0
7.170236,4.322059,2
11.37488,8.435066,0
9.747789,7.3355174,0
4.6069937,1.6232849,3
5.435666,1.2105602,1
7.020984,2.3377054,1
5.2017016,2.115077,1
5.4425035,3.0760634,1
9.4174795,0.88247025,1
7.3669395,4.4054346,2
8.999804,2.8239639,2
2.334231,2.4026272,3
10.26969,6.890692,0
5.391886,0.33595324,1
8.876328,7.2752433,0
9.725566,8.859514,0
4.598764,0.8946474,3
5.361533,3.551516,1
1.772664,1.9397565,3
6.3666806,0.23924178,1
2.985784,1.9245094,3
4.410574,1.3735993,3
5.633823,1.6803949,1
8.4911785,3.0066502,2
11.02193,8.214414,0
10.903313,8.855334,0
6.2859626,0.0873587,1
10.479419,8.778054,0
9.865991,6.757784,0
5.905182,4.42542,2
3.1341748,2.198708,3
8.119805,3.3340738,2
4.546201,0.51790875,3
6.9969144,1.9611866,1
3.4804983,1.1191082,3
9.906699,7.701995,0
9.092037,4.208736,2
5.050417,0.39966232,1
9.418214,0.43751505,1
10.649948,8.483911,0
8.696523,6.0112576,2
7.3147273,1.7309271,1
4.706712,3.2199903,3
7.5074763,1.6380496,1
2.2215862,1.967573,3
8.047283,3.0340273,2
5.509011,1.0318742,1
6.2628818,5.392872,2
9.266566,4.3039165,2
7.9239025,7.1177564,0
9.064981,4.380421,2
5.671241,4.5860753,2
4.8454585,1.6067386,3
5.5343103,2.2573366,1
7.9411926,5.1916184,2
3.1931782,0.35842496,3
3.6793432,-0.01793801,3
5.551236,0.2628942,1
8.967474,7.544996,0
11.325614,7.75371,0
10.647472,7.425099,0
2.184304,1.6198897,3
11.466705,8.765064,0
3.8423967,0.9394111,3
5.7099805,0.5300359,1
10.903234,7.9838557,0
3.9005666,-0.03272361,3
9.234907,8.150069,0
7.73502,2.3249416,1
9.082741,7.867443,0
11.854703,8.369995,0
8.079636,4.7052546,2
6.800844,0.5799747,1
11.67351,7.824515,0
8.175074,2.5320144,2
9.079315,3.8006382,2
7.249447,3.1445138,2
